,EURUSD,GOLD,HYG,LQD,QQQ,SPY,US10Y_YIELD,US2Y_YIELD,US30Y_YIELD,USDJPY
2024-06-20,,,,,,,,,,
2024-06-21,,,,,,,,,,
2024-06-24,,,,,,,,,,
2024-06-25,,,,,,,,,,
2024-06-26,,,,,,,,,,
2024-06-27,,,,,,,,,,
2024-06-28,,,,,,,,,,
2024-07-01,,,,,,,,,,
2024-07-02,,,,,,,,,,
2024-07-03,,,,,,,,,,
2024-07-04,,,,,,,,,,
2024-07-05,,,,,,,,,,
2024-07-08,,,,,,,,,,
2024-07-09,,,,,,,,,,
2024-07-10,,,,,,,,,,
2024-07-11,,,,,,,,,,
2024-07-12,,,,,,,,,,
2024-07-15,,,,,,,,,,
2024-07-16,,,,,,,,,,
2024-07-17,,,,,,,,,,
2024-07-18,,,,,,,,,,
2024-07-19,,,,,,,,,,
2024-07-22,,,,,,,,,,
2024-07-23,,,,,,,,,,
2024-07-24,,,,,,,,,,
2024-07-25,,,,,,,,,,
2024-07-26,,,,,,,,,,
2024-07-29,,,,,,,,,,
2024-07-30,,,,,,,,,,
2024-07-31,,,,,,,,,,
2024-08-01,,,,,,,,,,
2024-08-02,,,,,,,,,,
2024-08-05,,,,,,,,,,
2024-08-06,,,,,,,,,,
2024-08-07,,,,,,,,,,
2024-08-08,,,,,,,,,,
2024-08-09,,,,,,,,,,
2024-08-12,,,,,,,,,,
2024-08-13,,,,,,,,,,
2024-08-14,,,,,,,,,,
2024-08-15,,,,,,,,,,
2024-08-16,,,,,,,,,,
2024-08-19,,,,,,,,,,
2024-08-20,,,,,,,,,,
2024-08-21,,,,,,,,,,
2024-08-22,,,,,,,,,,
2024-08-23,,,,,,,,,,
2024-08-26,,,,,,,,,,
2024-08-27,,,,,,,,,,
2024-08-28,,,,,,,,,,
2024-08-29,,,,,,,,,,
2024-08-30,,,,,,,,,,
2024-09-02,,,,,,,,,,
2024-09-03,,,,,,,,,,
2024-09-04,,,,,,,,,,
2024-09-05,,,,,,,,,,
2024-09-06,,,,,,,,,,
2024-09-09,,,,,,,,,,
2024-09-10,,,,,,,,,,
2024-09-11,,,,,,,,,,
2024-09-12,,,,,,,,,,
2024-09-13,,,,,,,,,,
2024-09-16,,,,,,,,,,
2024-09-17,,,,,,,,,,
2024-09-18,,,,,,,,,,
2024-09-19,,,,,,,,,,
2024-09-20,,,,,,,,,,
2024-09-23,,,,,,,,,,
2024-09-24,,,,,,,,,,
2024-09-25,,,,,,,,,,
2024-09-26,,,,,,,,,,
2024-09-27,,,,,,,,,,
2024-09-30,,,,,,,,,,
2024-10-01,,,,,,,,,,
2024-10-02,,,,,,,,,,
2024-10-03,,,,,,,,,,
2024-10-04,,,,,,,,,,
2024-10-07,,,,,,,,,,
2024-10-08,,,,,,,,,,
2024-10-09,,,,,,,,,,
2024-10-10,,,,,,,,,,
2024-10-11,,,,,,,,,,
2024-10-14,,,,,,,,,,
2024-10-15,,,,,,,,,,
2024-10-16,,,,,,,,,,
2024-10-17,,,,,,,,,,
2024-10-18,,,,,,,,,,
2024-10-21,,,,,,,,,,
2024-10-22,,,,,,,,,,
2024-10-23,,,,,,,,,,
2024-10-24,,,,,,,,,,
2024-10-25,,,,,,,,,,
2024-10-28,,,,,,,,,,
2024-10-29,,,,,,,,,,
2024-10-30,,,,,,,,,,
2024-10-31,,,,,,,,,,
2024-11-01,,,,,,,,,,
2024-11-04,,,,,,,,,,
2024-11-05,,,,,,,,,,
2024-11-06,,,,,,,,,,
2024-11-07,,,,,,,,,,
2024-11-08,,,,,,,,,,
2024-11-11,,,,,,,,,,
2024-11-12,,,,,,,,,,
2024-11-13,,,,,,,,,,
2024-11-14,,,,,,,,,,
2024-11-15,,,,,,,,,,
2024-11-18,,,,,,,,,,
2024-11-19,,,,,,,,,,
2024-11-20,,,,,,,,,,
2024-11-21,,,,,,,,,,
2024-11-22,,,,,,,,,,
2024-11-25,,,,,,,,,,
2024-11-26,,,,,,,,,,
2024-11-27,,,,,,,,,,
2024-11-28,,,,,,,,,,
2024-11-29,,,,,,,,,,
2024-12-02,,,,,,,,,,
2024-12-03,,,,,,,,,,
2024-12-04,,,,,,,,,,
2024-12-05,,,,,,,,,,
2024-12-06,,,,,,,,,,
2024-12-09,,,,,,,,,,
2024-12-10,,,,,,,,,,
2024-12-11,,,,,,,,,,
2024-12-12,,,,,,,,,,
2024-12-13,,,,,,,,,,
2024-12-16,,,,,,,,,,
2024-12-17,,,,,,,,,,
2024-12-18,,,,,,,,,,
2024-12-19,,,,,,,,,,
2024-12-20,,,,,,,,,,
2024-12-23,,,,,,,,,,
2024-12-24,,,,,,,,,,
2024-12-25,,,,,,,,,,
2024-12-26,,,,,,,,,,
2024-12-27,,,,,,,,,,
2024-12-30,,,,,,,,,,
2024-12-31,,,,,,,,,,
2025-01-01,,,,,,,,,,
2025-01-02,,,,,,,,,,
2025-01-03,,,,,,,,,,
2025-01-06,,,,,,,,,,
2025-01-07,,,,,,,,,,
2025-01-08,,,,,,,,,,
2025-01-09,,,,,,,,,,
2025-01-10,,,,,,,,,,
2025-01-13,,,,,,,,,,
2025-01-14,,,,,,,,,,
2025-01-15,,,,,,,,,,
2025-01-16,,,,,,,,,,
2025-01-17,,,,,,,,,,
2025-01-20,,,,,,,,,,
2025-01-21,,,,,,,,,,
2025-01-22,,,,,,,,,,
2025-01-23,,,,,,,,,,
2025-01-24,,,,,,,,,,
2025-01-27,,,,,,,,,,
2025-01-28,,,,,,,,,,
2025-01-29,,,,,,,,,,
2025-01-30,,,,,,,,,,
2025-01-31,,,,,,,,,,
2025-02-03,,,,,,,,,,
2025-02-04,,,,,,,,,,
2025-02-05,,,,,,,,,,
2025-02-06,,,,,,,,,,
2025-02-07,,,,,,,,,,
2025-02-10,,,,,,,,,,
2025-02-11,,,,,,,,,,
2025-02-12,,,,,,,,,,
2025-02-13,,,,,,,,,,
2025-02-14,,,,,,,,,,
2025-02-17,,,,,,,,,,
2025-02-18,,,,,,,,,,
2025-02-19,,,,,,,,,,
2025-02-20,,,,,,,,,,
2025-02-21,,,,,,,,,,
2025-02-24,,,,,,,,,,
2025-02-25,,,,,,,,,,
2025-02-26,,,,,,,,,,
2025-02-27,,,,,,,,,,
2025-02-28,,,,,,,,,,
2025-03-03,,,,,,,,,,
2025-03-04,,,,,,,,,,
2025-03-05,,,,,,,,,,
2025-03-06,,,,,,,,,,
2025-03-07,,,,,,,,,,
2025-03-10,,,,,,,,,,
2025-03-11,,,,,,,,,,
2025-03-12,,,,,,,,,,
2025-03-13,,,,,,,,,,
2025-03-14,,,,,,,,,,
2025-03-17,,,,,,,,,,
2025-03-18,,,,,,,,,,
2025-03-19,,,,,,,,,,
2025-03-20,,,,,,,,,,
2025-03-21,,,,,,,,,,
2025-03-24,,,,,,,,,,
2025-03-25,,,,,,,,,,
2025-03-26,,,,,,,,,,
2025-03-27,,,,,,,,,,
2025-03-28,,,,,,,,,,
2025-03-31,,,,,,,,,,
2025-04-01,,,,,,,,,,
2025-04-02,,,,,,,,,,
2025-04-03,,,,,,,,,,
2025-04-04,,,,,,,,,,
2025-04-07,,,,,,,,,,
2025-04-08,,,,,,,,,,
2025-04-09,,,,,,,,,,
2025-04-10,,,,,,,,,,
2025-04-11,,,,,,,,,,
2025-04-14,,,,,,,,,,
2025-04-15,,,,,,,,,,
2025-04-16,,,,,,,,,,
2025-04-17,,,,,,,,,,
2025-04-18,,,,,,,,,,
2025-04-21,,,,,,,,,,
2025-04-22,3.5089484821498014e-05,1.6435916901855014e-05,-1.7662634188325452e-05,-1.866198519863453e-05,-7.522849493827848e-05,-0.0003126867213588721,2.8308824545042782e-05,-3.534600531381181e-05,-4.490901342535595e-05,1.655029741397141e-05
2025-04-23,1.5350676741866742e-05,1.2336544149652614e-05,-8.316358778161089e-06,-1.0571152538184931e-05,-8.037746705051101e-05,-0.0006005949773240944,3.16357092576104e-05,-4.743826239629229e-05,-8.333961089353707e-05,-3.520640218318108e-07
2025-04-24,-5.6211926077428373e-05,-4.55176573115322e-05,1.354975670042215e-05,5.553664566205424e-05,-1.1583092628085966e-06,0.0002705996759009755,-0.00015836721646303613,0.00012564237143747756,5.724035480991852e-05,-3.352982433318182e-05
2025-04-25,9.28855240099748e-05,0.00010455910296938058,-6.278219496561989e-06,-4.651754161191278e-06,-6.989687057080536e-05,-0.0009340592819667205,0.00032162597442574904,-0.00022352418678238652,-0.00014960859041498152,8.160138762381909e-05
2025-04-28,4.549472668662017e-05,3.5194801133112624e-05,-1.9779021019470288e-05,-4.013297478035995e-05,-4.0749795420668654e-05,-0.0005515881278868412,0.00011133957031961604,-9.688377494139934e-05,-0.00010413201920908426,2.7918693718579403e-05
2025-04-29,9.861439088790556e-06,1.4203613290534931e-05,-8.333528141324892e-06,-9.6533475635705e-06,-2.5170517018586646e-05,-0.000500799730437265,5.5791350422238835e-05,-5.802385414120451e-05,-3.062522771380988e-05,5.781757424403367e-06
2025-04-30,-7.614390551391519e-06,6.768653207653227e-07,-1.5564109081629903e-06,-5.006647520996393e-06,-4.0111492628102295e-05,-0.00030054689426797115,2.1077616012545114e-05,-2.403324199629269e-05,-2.158663966072939e-05,-1.627002020466159e-05
2025-05-01,-6.552795123135735e-06,-9.338613414229751e-06,8.623115089178576e-06,-9.233365918706138e-07,-5.190679768193091e-05,-0.0005922207723531624,-2.7954686422146577e-08,-7.408861749594795e-06,-4.4770057243845135e-05,-8.64037390431261e-06
2025-05-02,-3.721074094179474e-06,-3.256550564415057e-06,1.825671262230595e-06,2.2743895741089266e-06,3.371846525005336e-05,0.00014965105161458754,-8.723338107019215e-07,-7.395632486562944e-07,-1.925199676354819e-05,-1.3123641490403402e-06
2025-05-05,1.0904426201068676e-05,9.372329716464539e-06,-4.578653289264441e-06,-3.993624211450736e-06,-5.9072720352921206e-05,3.6886515499217923e-07,2.5231469795395057e-05,-1.7345999300803436e-05,-2.5214000683475713e-05,1.063437573285331e-06
2025-05-06,-2.1029803913632168e-06,-7.825404785576108e-06,1.428660556108127e-06,-2.267561659669419e-06,6.831049551941539e-05,0.00013432283033318844,-3.6731819472807033e-05,1.6718903578312563e-05,6.11318211384354e-05,-2.7998698852187424e-06
2025-05-07,-8.509182984328384e-06,-1.0730363970698633e-05,-1.0703785985309364e-06,7.435676473422466e-07,6.301635899243895e-05,0.00019686034622805383,-2.753400944299665e-05,1.4992818437478086e-05,6.337943131554044e-05,-4.665904307407835e-06
2025-05-08,-9.426346832558046e-07,2.527318907950241e-06,-5.781888130087775e-06,-1.9804339219193215e-06,-3.69771836747626e-05,-0.0002437053279768617,1.2083456729948882e-05,-1.8547443318135948e-05,-3.8741590233353296e-05,-8.399438581862064e-07
2025-05-09,8.858685466375856e-06,1.1848662759968402e-05,4.166843597777142e-06,-7.605548136822855e-07,-3.399707269902188e-05,-0.00069775736899673,3.625684008907632e-05,-1.777184075610935e-05,-5.700258512126913e-05,2.7227565835557643e-06
2025-05-12,3.6102334094092404e-07,3.624424243845402e-06,-4.491985302972674e-06,-2.39959954097089e-06,-2.7268443449861352e-05,-2.3997260809043657e-05,3.8044841681702688e-06,-2.5892214902037884e-06,-3.530155924644597e-05,5.488540593746693e-07
2025-05-13,-1.2223915949998722e-05,-1.351430360897598e-05,1.0242325318331472e-05,1.6147705607810511e-06,1.9732839135514926e-05,0.000319130713424338,-4.2582381232149886e-05,2.2100087600693506e-05,4.026366702958502e-05,-2.1824370165845015e-06
2025-05-14,1.9206386711695996e-05,1.7125906575836546e-05,-5.4923038508610676e-06,-2.4484687438241365e-06,-7.07235982906413e-06,-0.00031242393026755487,6.0962052848565324e-05,-2.801484147760206e-05,-8.024831175288221e-05,1.7641080313654358e-06
2025-05-15,-8.185743393275835e-06,-9.39829259744799e-08,6.602000354828964e-06,-1.4920728428690294e-06,-4.299070406951351e-05,0.00022834399865512457,1.0076483703596979e-05,-1.258357849870969e-06,1.058601346030621e-05,2.803188721358963e-07
2025-05-16,-1.0157161694292051e-05,-5.636101897617511e-06,-1.3258701856265876e-05,-2.1124780416048924e-06,5.215608389116741e-06,-0.00020781651987249126,-2.7297711142695644e-05,1.1825191602088402e-05,-7.385429309425608e-06,-1.4784109856745885e-06
2025-05-19,2.2672960432191756e-05,8.21089287001589e-08,1.1687248181224266e-05,7.149289089029158e-06,1.8902232478836227e-05,0.0002509447089878915,-2.0853081297222252e-05,1.6776011988443102e-05,4.070150834060586e-05,5.2459404949152925e-06
2025-05-20,-6.945970960877945e-05,-1.2148918845680203e-05,1.6542127263961473e-05,1.1666197494784692e-06,-7.633098742096115e-06,0.0003035174797890574,-2.621309215867483e-05,1.0541194439535839e-05,3.0077164577337944e-05,-1.2592995469930312e-05
2025-05-21,-1.90797243011597e-05,-1.4366880997130775e-05,8.118769755849703e-06,-1.0975389718594172e-15,0.00011599162985257023,0.0005170508635729199,-1.4949839873802118e-05,3.623756875240293e-06,7.32753878811741e-05,-4.505611366146636e-06
2025-05-22,-3.3372252568915913e-06,-2.414467975221441e-06,2.932831046068339e-07,-3.838591910472188e-06,1.9516089876414495e-05,0.00016199771263117053,-7.15887578602327e-08,2.5337305903106634e-09,4.122864032042718e-05,-4.053474586832272e-06
2025-05-23,-3.549391298624736e-06,-2.7219539542246704e-07,1.8793238776336968e-08,-4.199460440358458e-06,5.785847064614529e-06,5.770400594751994e-05,2.1295479905095607e-14,-4.2055195595560683e-11,1.0017335529932757e-05,-1.5771048567028283e-06
2025-05-26,1.1324213270632822e-06,2.5081154491415025e-07,1.7202699241792168e-08,-4.851092698935645e-06,3.999015737772434e-06,2.4677201854476437e-05,8.030623755917088e-13,-7.080522918865032e-10,6.776756712622858e-06,6.3273104416874854e-06
2025-05-27,1.1737430534514312e-06,1.4128502800316378e-07,-3.623528249580051e-07,5.608315373347408e-06,-4.249588991259233e-06,-2.1503431868987184e-05,1.5497917510979224e-14,5.7691986594066265e-11,-5.0542430743348e-06,-1.337645925974957e-06
2025-05-28,5.800776794821297e-06,3.791498785441528e-07,-2.214148024287513e-08,5.707207090286953e-05,-2.699223973709472e-06,-1.5609537639038865e-05,-4.5761891570018507e-10,4.776213177464128e-08,-1.9291691385927234e-05,8.290079437122616e-06
2025-05-29,4.357366763980875e-08,1.585782853922078e-09,-9.833814341293317e-10,0.00011491320254409795,-1.493742788189919e-06,-1.3938931495118201e-05,-2.582820167894892e-06,1.7628127880990149e-06,-9.065734992279469e-06,1.6305638160764017e-06
2025-05-30,2.4256107534778984e-09,-5.753867577722224e-11,7.595359337420497e-11,3.0435355162590034e-06,-2.4694435037611245e-07,-1.7854835028586582e-06,-5.713693856572194e-07,1.0284172622157072e-06,-1.577642923548158e-06,-8.260889202532293e-07
2025-06-02,-3.603638057514397e-09,-7.992073260788734e-10,6.658479610595164e-10,2.503440247647985e-05,-8.558387904510451e-08,1.2032966314687836e-07,1.0954798050114619e-06,-2.109463927450263e-07,2.176295810516739e-06,-1.6004887223797765e-06
2025-06-03,8.849933715320763e-09,3.57012176821229e-10,1.4013293701027583e-10,-5.812333059224597e-06,1.0815939551038833e-08,2.452208447630919e-06,1.2780059845939302e-07,-4.852904842286428e-07,9.664100589663098e-07,1.5444094354331026e-06
2025-06-04,4.969173255820764e-09,7.857035587962087e-10,-2.2760737574477303e-09,4.673593836798258e-05,-8.193449658551986e-08,-1.9386051671953967e-06,-1.2575208943369116e-06,9.36428392056265e-07,-2.598384214817366e-06,1.2392712561830939e-06
2025-06-05,-2.7100042326847962e-09,9.765217792086311e-11,-1.2244344508659422e-12,0.00013045013455765804,-1.453992252596001e-07,-4.128884064129762e-06,-9.766686215026957e-07,1.5732723287247028e-06,-1.8978343144559566e-06,-7.657820683800897e-07
2025-06-06,1.5260480479927005e-08,2.3468086055132225e-10,-3.6359173065917066e-14,7.711543217225013e-05,-1.68485684977806e-08,-2.5194957321647402e-06,-1.7657051981301205e-06,1.3224201118613224e-06,-2.0168106425309653e-06,1.0806403946056047e-06
2025-06-09,-2.3348978691782081e-07,-4.525465343587956e-09,2.7028362479152307e-12,-0.0001030483841417877,3.655758466316496e-07,1.1244295900977712e-05,1.4561393666157576e-06,-2.268369748023396e-06,6.939586688033554e-06,-3.2889598812301764e-06
2025-06-10,-1.3450759214801296e-09,-1.701457622373136e-11,-1.1487072242595656e-12,-1.55939465792958e-05,-2.1814505271240326e-07,-1.6173308120188902e-06,8.46002986752659e-06,-1.955737791020666e-06,2.9254904091926712e-06,-1.4611808089132194e-06
2025-06-11,2.384157062273096e-09,-2.5885323542740603e-13,-3.273638092283833e-11,-0.00016536987793952323,1.2863327081478758e-07,6.274434713079708e-06,4.5178581701270686e-06,-2.720274515274676e-06,1.184074808216693e-06,4.571032887108567e-07
2025-06-12,1.454985428375606e-09,2.0205699133045895e-12,-2.334838876755119e-12,-6.612640497192483e-05,2.5106732104944e-07,7.787058468744587e-07,-3.0900975719319667e-06,2.4320691410539683e-07,2.541074590955179e-07,7.80616751809651e-07
2025-06-13,-2.8014907126880295e-11,1.3956790324388613e-15,6.041999194325987e-11,0.00011481150656040961,-3.092917923093906e-07,-7.214428489986731e-06,-1.2386008579486198e-05,3.666952279608663e-06,4.477476722402413e-07,4.561737772129503e-07
2025-06-16,-4.380218803413918e-08,-4.902078470524671e-11,5.294803607440553e-10,5.8652667702985e-05,-3.9519129308365283e-07,-4.344629079952104e-06,-2.0647920493441992e-05,5.310963619873017e-06,3.3685094167911595e-07,1.2013316292379379e-07
2025-06-17,-5.055398697748262e-10,1.2044858487658914e-12,-1.8381663011007062e-10,-9.428403114309608e-05,8.585526642657127e-07,1.5285346560081875e-05,8.05720358418075e-06,-3.5447278017528955e-06,8.066204065867149e-08,3.934548977814942e-08
2025-06-18,-2.935457229454902e-08,-2.169141241002855e-13,1.1011707175625177e-10,3.127825101416713e-05,3.337707677731723e-07,-4.656381448601417e-06,-9.55775372701854e-07,-2.557320073228279e-07,2.769685903699404e-07,9.898361551054788e-09
2025-06-19,3.8951490864850743e-10,-7.891832235430327e-13,-2.560795055525465e-13,-6.796388294891177e-05,4.348659126500397e-08,1.7987278505054646e-05,2.0915098437355562e-05,-6.44776582577692e-06,-7.530446081894944e-07,-4.7234836158608435e-08
2025-06-20,4.106328278797658e-09,5.0685125951562875e-09,-2.664219624070287e-11,9.12516636401956e-06,1.8095875772919434e-09,-6.554375626201932e-06,-1.818278822924347e-06,7.954845871142417e-07,5.146927189186974e-07,1.4246024082999087e-07
2025-06-23,-6.240559753937656e-08,-2.5517721567144384e-08,1.4906713740164932e-09,-3.487968212850978e-05,6.4627910527298376e-09,7.2650097764032315e-06,5.117686504534439e-07,-4.733261831249948e-07,-4.346766343246155e-07,-2.0806777400993152e-07
2025-06-24,-5.284871780397441e-10,-1.8046537366237047e-10,-1.278426582534145e-07,-0.00021232976766303324,-1.5985298980612153e-12,2.9467103681183336e-05,9.943914127824849e-06,-1.3630304053132605e-05,-1.0742294475967216e-06,-1.1513982946895701e-07
2025-06-25,9.892961026218294e-07,2.4762222719090456e-06,-1.0449061194430651e-05,8.684811180276889e-06,-1.8677558126964734e-05,-0.00020300042637827267,-2.632260231029812e-09,-5.954195512223349e-17,3.684734336067062e-07,6.242921985112148e-08
2025-06-26,8.001090882735548e-08,1.2753779265388254e-07,-2.6477349813329423e-07,-2.2658109988447357e-07,-7.91170056780891e-07,-1.4293015585804118e-05,-5.0483010809025447e-08,1.6721311493327835e-10,4.0034319993453273e-07,1.3142849657928568e-07
2025-06-27,-1.4619009678453406e-07,-2.3024269835820242e-07,4.989047112691119e-07,-6.32355795392031e-07,1.4663627518315044e-06,3.549785112285588e-05,1.3637079295670147e-08,-3.992328078315342e-11,-3.4010617467973455e-07,-7.875525900527178e-08
2025-06-30,-1.6822210374684615e-08,-2.512141372423185e-08,7.386261185818994e-07,-3.1976890862671557e-07,-4.1487472990771943e-07,2.145409480523401e-05,2.3736042347616095e-09,-4.181353972388228e-11,-8.938416756106955e-08,6.585258895324049e-08
2025-07-01,-5.524138935938868e-08,-2.1160898938908094e-08,-1.2556037135447287e-06,-4.828409997417524e-07,1.7656293913864305e-07,1.820141349267502e-05,3.060352184377472e-10,1.0795813507734983e-11,-1.9935568924548805e-08,-7.896748777987647e-08
2025-07-02,9.621542539061099e-08,1.598681642465666e-07,-5.911739769421055e-07,8.163494431817885e-07,-2.0140118306983466e-07,-1.6828369834572274e-05,-1.6797375842331278e-08,1.427791336574138e-10,3.7360951136464805e-07,6.425407992372855e-08
2025-07-03,-8.309525339955403e-08,9.641808358096057e-09,-6.412380657681245e-07,-1.1676988987457812e-07,2.6812884234005057e-06,1.9881192627601717e-05,-1.0471823356111873e-09,-1.2283750359440446e-11,1.3104033672092667e-07,-6.113790077696499e-08
2025-07-04,3.392796530384208e-07,9.940010216150325e-08,-2.351745738501561e-07,1.5603898274683096e-07,1.3310631349142007e-06,2.22258520925132e-05,-1.8477634729444287e-08,1.1384084692250445e-11,5.6553899428013e-07,2.4835768067121997e-07
2025-07-07,1.0761870965319344e-07,2.1376959559110446e-07,-2.994776845564849e-07,2.0708781838266886e-06,-8.484921111248453e-06,-0.00011117362810013847,-1.0692994822989622e-09,3.589839698183158e-10,2.2029080986065265e-07,5.368159846987529e-08
2025-07-08,-1.6052625005613242e-09,8.726926487027865e-10,-9.688726546221388e-08,2.697993158610436e-07,7.473674544871843e-10,3.796434560956251e-05,-1.0049763673891545e-09,-9.651335176877658e-12,2.048424698624483e-07,9.853324672647985e-08
2025-07-09,7.886479885789993e-09,-2.2972190769475434e-08,-1.5869898347103778e-07,1.594488472117777e-07,5.537895751566086e-07,2.9902203620958964e-05,8.474071854654792e-10,-6.012340522613156e-12,-1.7349333961648833e-07,-9.242079159163602e-08
2025-07-10,-7.882605483363092e-08,-7.120721503594327e-08,4.775536853361362e-07,3.0713797067937054e-07,4.2786899905707583e-07,1.7438828908925655e-05,3.1749021398696093e-09,-1.4481390266928545e-11,-6.403733767232131e-07,-2.3088984791172406e-07
2025-07-11,2.882983789203519e-08,-4.320433890257301e-08,3.5847270424677767e-07,-1.168658947910287e-07,4.372100209186202e-06,8.516681353538183e-05,-2.9494291821361806e-09,-5.992762805507624e-11,6.331960255151337e-07,5.668085261145558e-07
2025-07-14,5.5811008671971e-08,4.802145713838255e-08,-2.144980462203054e-07,8.114139811958337e-07,-9.127127061206881e-07,1.2305093033812442e-05,-2.1723157278592508e-09,1.4151700239056955e-11,4.426890860868457e-07,1.9666321929876008e-07
2025-07-15,4.577789497241373e-09,-2.439649775571242e-08,-5.84882785003649e-09,-2.2283517683379446e-07,-4.798579663480411e-07,-1.3047281224586333e-05,-1.9819825058986256e-10,4.934924050042213e-12,4.0123366908972535e-08,-7.171411802164086e-09
2025-07-16,-1.4517141218938654e-07,-2.026758186065809e-07,8.210075189528058e-07,-1.1363085976729638e-06,6.42757083823046e-06,9.677796313884128e-05,2.3587827750001833e-09,-6.7942973214998e-11,-4.795236038799953e-07,-2.2555225509691728e-07
2025-07-17,3.9847749177175603e-07,2.0823603236972493e-08,2.3484311725988888e-07,7.225285408277483e-07,-4.1289736077879484e-06,-4.270375423990347e-05,-1.245267974394254e-09,1.3120377186745024e-14,2.5824727479016e-07,2.5689907196289673e-07
2025-07-18,1.4954709435983075e-07,1.3424633861161235e-07,-7.639664406455083e-07,2.1500050420547355e-07,-5.719188316116956e-06,-6.580646233385652e-05,4.5996458235180317e-10,2.019716428120857e-11,-9.559468097783952e-08,-1.5309260804850513e-08
