,EURUSD,GOLD,HYG,LQD,QQQ,SPY,US10Y_YIELD,US2Y_YIELD,US30Y_YIELD,USDJPY
2024-06-20,,,,,,,,,,
2024-06-21,,,,,,,,,,
2024-06-24,,,,,,,,,,
2024-06-25,,,,,,,,,,
2024-06-26,,,,,,,,,,
2024-06-27,,,,,,,,,,
2024-06-28,,,,,,,,,,
2024-07-01,,,,,,,,,,
2024-07-02,,,,,,,,,,
2024-07-03,,,,,,,,,,
2024-07-04,,,,,,,,,,
2024-07-05,,,,,,,,,,
2024-07-08,,,,,,,,,,
2024-07-09,,,,,,,,,,
2024-07-10,,,,,,,,,,
2024-07-11,,,,,,,,,,
2024-07-12,,,,,,,,,,
2024-07-15,,,,,,,,,,
2024-07-16,,,,,,,,,,
2024-07-17,,,,,,,,,,
2024-07-18,,,,,,,,,,
2024-07-19,,,,,,,,,,
2024-07-22,,,,,,,,,,
2024-07-23,,,,,,,,,,
2024-07-24,,,,,,,,,,
2024-07-25,,,,,,,,,,
2024-07-26,,,,,,,,,,
2024-07-29,,,,,,,,,,
2024-07-30,,,,,,,,,,
2024-07-31,,,,,,,,,,
2024-08-01,,,,,,,,,,
2024-08-02,,,,,,,,,,
2024-08-05,,,,,,,,,,
2024-08-06,,,,,,,,,,
2024-08-07,,,,,,,,,,
2024-08-08,,,,,,,,,,
2024-08-09,,,,,,,,,,
2024-08-12,,,,,,,,,,
2024-08-13,,,,,,,,,,
2024-08-14,,,,,,,,,,
2024-08-15,,,,,,,,,,
2024-08-16,,,,,,,,,,
2024-08-19,,,,,,,,,,
2024-08-20,,,,,,,,,,
2024-08-21,,,,,,,,,,
2024-08-22,,,,,,,,,,
2024-08-23,,,,,,,,,,
2024-08-26,,,,,,,,,,
2024-08-27,,,,,,,,,,
2024-08-28,,,,,,,,,,
2024-08-29,,,,,,,,,,
2024-08-30,,,,,,,,,,
2024-09-02,,,,,,,,,,
2024-09-03,,,,,,,,,,
2024-09-04,,,,,,,,,,
2024-09-05,,,,,,,,,,
2024-09-06,,,,,,,,,,
2024-09-09,,,,,,,,,,
2024-09-10,,,,,,,,,,
2024-09-11,,,,,,,,,,
2024-09-12,,,,,,,,,,
2024-09-13,,,,,,,,,,
2024-09-16,,,,,,,,,,
2024-09-17,,,,,,,,,,
2024-09-18,,,,,,,,,,
2024-09-19,,,,,,,,,,
2024-09-20,,,,,,,,,,
2024-09-23,,,,,,,,,,
2024-09-24,,,,,,,,,,
2024-09-25,,,,,,,,,,
2024-09-26,,,,,,,,,,
2024-09-27,,,,,,,,,,
2024-09-30,,,,,,,,,,
2024-10-01,,,,,,,,,,
2024-10-02,,,,,,,,,,
2024-10-03,,,,,,,,,,
2024-10-04,,,,,,,,,,
2024-10-07,,,,,,,,,,
2024-10-08,,,,,,,,,,
2024-10-09,,,,,,,,,,
2024-10-10,,,,,,,,,,
2024-10-11,,,,,,,,,,
2024-10-14,,,,,,,,,,
2024-10-15,,,,,,,,,,
2024-10-16,,,,,,,,,,
2024-10-17,,,,,,,,,,
2024-10-18,,,,,,,,,,
2024-10-21,,,,,,,,,,
2024-10-22,,,,,,,,,,
2024-10-23,,,,,,,,,,
2024-10-24,,,,,,,,,,
2024-10-25,,,,,,,,,,
2024-10-28,,,,,,,,,,
2024-10-29,,,,,,,,,,
2024-10-30,,,,,,,,,,
2024-10-31,,,,,,,,,,
2024-11-01,,,,,,,,,,
2024-11-04,,,,,,,,,,
2024-11-05,,,,,,,,,,
2024-11-06,,,,,,,,,,
2024-11-07,,,,,,,,,,
2024-11-08,,,,,,,,,,
2024-11-11,,,,,,,,,,
2024-11-12,,,,,,,,,,
2024-11-13,,,,,,,,,,
2024-11-14,,,,,,,,,,
2024-11-15,,,,,,,,,,
2024-11-18,,,,,,,,,,
2024-11-19,,,,,,,,,,
2024-11-20,,,,,,,,,,
2024-11-21,,,,,,,,,,
2024-11-22,,,,,,,,,,
2024-11-25,,,,,,,,,,
2024-11-26,,,,,,,,,,
2024-11-27,,,,,,,,,,
2024-11-28,,,,,,,,,,
2024-11-29,,,,,,,,,,
2024-12-02,,,,,,,,,,
2024-12-03,,,,,,,,,,
2024-12-04,,,,,,,,,,
2024-12-05,,,,,,,,,,
2024-12-06,,,,,,,,,,
2024-12-09,,,,,,,,,,
2024-12-10,,,,,,,,,,
2024-12-11,,,,,,,,,,
2024-12-12,,,,,,,,,,
2024-12-13,,,,,,,,,,
2024-12-16,,,,,,,,,,
2024-12-17,,,,,,,,,,
2024-12-18,,,,,,,,,,
2024-12-19,,,,,,,,,,
2024-12-20,,,,,,,,,,
2024-12-23,,,,,,,,,,
2024-12-24,,,,,,,,,,
2024-12-25,,,,,,,,,,
2024-12-26,,,,,,,,,,
2024-12-27,,,,,,,,,,
2024-12-30,,,,,,,,,,
2024-12-31,,,,,,,,,,
2025-01-01,,,,,,,,,,
2025-01-02,,,,,,,,,,
2025-01-03,,,,,,,,,,
2025-01-06,,,,,,,,,,
2025-01-07,,,,,,,,,,
2025-01-08,,,,,,,,,,
2025-01-09,,,,,,,,,,
2025-01-10,,,,,,,,,,
2025-01-13,,,,,,,,,,
2025-01-14,,,,,,,,,,
2025-01-15,,,,,,,,,,
2025-01-16,,,,,,,,,,
2025-01-17,,,,,,,,,,
2025-01-20,,,,,,,,,,
2025-01-21,,,,,,,,,,
2025-01-22,,,,,,,,,,
2025-01-23,,,,,,,,,,
2025-01-24,,,,,,,,,,
2025-01-27,,,,,,,,,,
2025-01-28,,,,,,,,,,
2025-01-29,,,,,,,,,,
2025-01-30,,,,,,,,,,
2025-01-31,,,,,,,,,,
2025-02-03,,,,,,,,,,
2025-02-04,,,,,,,,,,
2025-02-05,,,,,,,,,,
2025-02-06,,,,,,,,,,
2025-02-07,,,,,,,,,,
2025-02-10,,,,,,,,,,
2025-02-11,,,,,,,,,,
2025-02-12,,,,,,,,,,
2025-02-13,,,,,,,,,,
2025-02-14,,,,,,,,,,
2025-02-17,,,,,,,,,,
2025-02-18,,,,,,,,,,
2025-02-19,,,,,,,,,,
2025-02-20,,,,,,,,,,
2025-02-21,,,,,,,,,,
2025-02-24,,,,,,,,,,
2025-02-25,,,,,,,,,,
2025-02-26,,,,,,,,,,
2025-02-27,,,,,,,,,,
2025-02-28,,,,,,,,,,
2025-03-03,,,,,,,,,,
2025-03-04,,,,,,,,,,
2025-03-05,,,,,,,,,,
2025-03-06,,,,,,,,,,
2025-03-07,,,,,,,,,,
2025-03-10,,,,,,,,,,
2025-03-11,,,,,,,,,,
2025-03-12,,,,,,,,,,
2025-03-13,,,,,,,,,,
2025-03-14,,,,,,,,,,
2025-03-17,,,,,,,,,,
2025-03-18,,,,,,,,,,
2025-03-19,,,,,,,,,,
2025-03-20,,,,,,,,,,
2025-03-21,,,,,,,,,,
2025-03-24,,,,,,,,,,
2025-03-25,,,,,,,,,,
2025-03-26,,,,,,,,,,
2025-03-27,,,,,,,,,,
2025-03-28,,,,,,,,,,
2025-03-31,,,,,,,,,,
2025-04-01,,,,,,,,,,
2025-04-02,,,,,,,,,,
2025-04-03,,,,,,,,,,
2025-04-04,,,,,,,,,,
2025-04-07,,,,,,,,,,
2025-04-08,,,,,,,,,,
2025-04-09,,,,,,,,,,
2025-04-10,,,,,,,,,,
2025-04-11,,,,,,,,,,
2025-04-14,,,,,,,,,,
2025-04-15,,,,,,,,,,
2025-04-16,,,,,,,,,,
2025-04-17,,,,,,,,,,
2025-04-18,,,,,,,,,,
2025-04-21,,,,,,,,,,
2025-04-22,0.5000192663371452,0.5000083094195269,0.5000100712934076,0.5000111338491389,0.5000453403745478,0.5001535327925882,0.5000215466998013,0.5000230160140497,0.5000378090627473,0.5000069536099223
2025-04-23,0.5000084684002072,0.5000062669635829,0.5000047649193559,0.500006270815956,0.5000485330928,0.5002959198393143,0.5000242097037868,0.5000309992470133,0.500070445180349,0.5000001488583758
2025-04-24,0.500030873798163,0.5000230073749206,0.5000077871622873,0.5000322855186661,0.5000007039059353,0.5001340893449578,0.5001199310213426,0.5000816861368724,0.5000486177474321,0.5000142159081189
2025-04-25,0.5000508241036313,0.5000524682928602,0.5000036287988807,0.5000027222667308,0.5000425904537462,0.5004630008521767,0.5002411083890279,0.5001445016628305,0.5001271761595587,0.5000343567446006
2025-04-28,0.5000246272138542,0.5000176112167145,0.5000114111542848,0.5000232537201699,0.5000249469478405,0.5002744023954608,0.500083210177757,0.5000625342223072,0.5000886708710911,0.5000116660607195
2025-04-29,0.5000053394817154,0.5000071104788404,0.5000048155369512,0.5000055947353096,0.5000154945634236,0.5002499097438307,0.5000415973876579,0.5000373006367524,0.5000262328208975,0.5000024249822907
2025-04-30,0.5000041391434206,0.5000003409049198,0.5000009046909358,0.5000028766477983,0.5000247916809024,0.5001507201947846,0.5000157734233075,0.5000154400625618,0.5000185998216197,0.5000068212116247
2025-05-01,0.5000035748657247,0.5000047165639471,0.5000050125300174,0.5000005319394718,0.5000320944394756,0.5002966289924582,0.5000000210447356,0.5000047843285648,0.5000387710613893,0.5000036065897235
2025-05-02,0.5000020399145446,0.5000016535714609,0.5000010670577122,0.5000013054683781,0.5000209221757139,0.5000753643334581,0.5000006605325737,0.5000004803848799,0.5000167693112422,0.5000005509594384
2025-05-05,0.5000059761911178,0.50000477239831,0.500002686698788,0.500002296396137,0.5000367405278174,0.50000018683845,0.5000191490956687,0.5000112683120016,0.5000220856902486,0.5000004487704484
2025-05-06,0.5000011590076475,0.5000040008903658,0.5000008429430107,0.5000013076267141,0.5000425405379478,0.500068380797976,0.5000278823254828,0.5000108818540039,0.500053683836964,0.5000011871021338
2025-05-07,0.500004698432271,0.500005488456445,0.5000006350885452,0.5000004307637196,0.5000391584124071,0.5001006539425635,0.5000208441286559,0.5000097455385961,0.5000556968696861,0.5000019755920706
2025-05-08,0.5000005234036918,0.5000012997140375,0.5000034399558614,0.5000011526919788,0.5000230769849924,0.5001251865866634,0.500009191188821,0.5000120758973953,0.5000342096479717,0.5000003576098669
2025-05-09,0.5000049234240402,0.5000060852260038,0.5000024895414081,0.5000004451251766,0.5000213034736471,0.5003553944133868,0.500027206386062,0.5000114461803542,0.5000504732194427,0.5000011603909673
2025-05-12,0.5000002017549076,0.500001869586105,0.5000026959080468,0.5000014097050836,0.5000171624698603,0.5000122981179346,0.5000028705266542,0.5000016761077741,0.5000313935057064,0.5000002350727788
2025-05-13,0.5000068078614054,0.5000069407544437,0.5000061533140361,0.5000009518205015,0.5000124745398,0.5001636149752544,0.5000312057026678,0.5000139466543947,0.5000359093552607,0.5000009380123348
2025-05-14,0.5000106818659299,0.5000087992771403,0.5000033148251225,0.5000014499364218,0.5000044949488166,0.5001606678788391,0.5000445219495132,0.5000176619678095,0.5000716373280807,0.5000007609020032
2025-05-15,0.5000045731911258,0.500000048547684,0.5000040006507276,0.5000008881470277,0.500027391964228,0.5001178316555364,0.5000073977544898,0.5000007976303696,0.5000094988984747,0.5000001215265018
2025-05-16,0.500005695012091,0.5000029246248268,0.5000080513816841,0.5000012633209947,0.5000033402953415,0.5001077308001912,0.5000200869070659,0.500007520527685,0.5000066618345065,0.5000006439899146
2025-05-19,0.5000127071898328,0.5000000428287498,0.5000071198105163,0.500004243893647,0.5000121566014066,0.5001305045329374,0.5000153856293378,0.500010662057607,0.5000368335158147,0.5000022776580582
2025-05-20,0.5000385694202869,0.5000063502367971,0.5000100551389406,0.5000006836081332,0.5000049343096342,0.5001581225792181,0.5000192995903917,0.5000066808387522,0.5000273233586212,0.5000054545785646
2025-05-21,0.5000104768912257,0.5000074464606946,0.5000048572755955,0.49999999999999933,0.5000736000318196,0.5002657004780651,0.5000107592938913,0.5000022436170459,0.5000662962743952,0.5000019572613059
2025-05-22,0.5000018386912186,0.5000012363088434,0.500000172903349,0.4999979023307396,0.5000123143085264,0.5000825763743125,0.5000000499315163,0.500000001536882,0.5000370544589963,0.5000017629238145
2025-05-23,0.5000019575117067,0.5000001396814598,0.5000000111216628,0.49999770351487327,0.5000036536268024,0.5000292728931837,0.4999999999999852,0.49999999997453215,0.5000090332244425,0.5000006889083249
2025-05-26,0.5000006273144385,0.5000001291557944,0.5000000101149733,0.49999734214472136,0.5000024503855112,0.5000124196566349,0.5000000000005603,0.49999999957023356,0.5000061344123857,0.5000027450926277
2025-05-27,0.5000006529907937,0.5000000730600537,0.5000002114178721,0.49999693899375347,0.5000026063953972,0.5000108359131827,0.5000000000000109,0.49999999996498595,0.5000045961146453,0.5000005831410911
2025-05-28,0.5000031446392117,0.5000001934341569,0.5000000128893891,0.49996979686340737,0.5000016556264386,0.500007873183772,0.4999999996915173,0.4999999715632195,0.5000174863323237,0.5000035845375973
2025-05-29,0.5000000233757611,0.5000000008032375,0.500000000571429,0.4999396133184671,0.5000009092784808,0.5000069830045987,0.49999828932861545,0.4999989612063469,0.5000081975185916,0.5000007030362639
2025-05-30,0.5000000013070914,0.5000000000292828,0.5000000000443443,0.49999839261538737,0.500000150711339,0.5000008986010438,0.49999961994074316,0.4999993920284538,0.5000014331926782,0.5000003576470894
2025-06-02,0.500000001950199,0.500000000407463,0.5000000003895335,0.49998672235610964,0.5000000524625555,0.5000000608439109,0.4999992705896933,0.4999998747223875,0.5000019845506715,0.5000006921313319
2025-06-03,0.5000000048041127,0.5000000001828244,0.5000000000823148,0.4999969037639215,0.5000000066608294,0.5000012447244061,0.4999999145125215,0.4999997105973002,0.500000885136227,0.5000006690241907
2025-06-04,0.5000000026899698,0.5000000004030425,0.5000000013301387,0.49997505894824124,0.500000050678492,0.5000009882862508,0.49999915902835823,0.4999994400505043,0.5000023893395455,0.5000005363851827
2025-06-05,0.5000000014729752,0.5000000000503186,0.5000000000007152,0.4999309260026531,0.5000000902405873,0.500002110734723,0.49999934481510233,0.49999905772360476,0.500001752579495,0.5000003327323688
2025-06-06,0.500000008291616,0.5000000001214056,0.5000000000000213,0.49995906160488923,0.5000000105043467,0.5000012927927857,0.4999988136385123,0.49999920537089865,0.5000018701338798,0.500000470693498
2025-06-09,0.5000001257130302,0.5000000023238838,0.5000000000015763,0.4999459081948473,0.5000002268412538,0.5000057308465582,0.49999903881303953,0.4999986496064792,0.5000064220611031,0.5000014312564138
2025-06-10,0.5000000007170767,0.5000000000087472,0.49999999999932854,0.49999178070943684,0.500000135827245,0.5000008279373355,0.49999446565030997,0.4999988336781511,0.5000027108667672,0.500000631273231
2025-06-11,0.5000000012752734,0.5000000000001336,0.49999999998082423,0.49991428407207905,0.5000000804106252,0.5000032165536323,0.49999703650164506,0.4999983752136058,0.5000011010987608,0.5000001981717863
2025-06-12,0.5000000007746619,0.5000000000010458,0.4999999999986263,0.49996564500710594,0.5000001573151429,0.5000004009268602,0.49999796653837925,0.4999998540989486,0.5000002373143324,0.5000003386388336
2025-06-13,0.4999999999852508,0.5000000000000007,0.49999999996465594,0.49994058409167486,0.500000194365866,0.5000037172286735,0.49999189345111583,0.4999978015406166,0.5000004198890099,0.5000001974792045
2025-06-16,0.4999999770822693,0.49999999997466926,0.4999999996894217,0.4999695495655498,0.5000002472878775,0.5000022426986521,0.4999865246894767,0.49999681530165846,0.5000003172091598,0.5000000520069444
2025-06-17,0.4999999997343658,0.49999999999937544,0.4999999998918033,0.4999513195254355,0.5000005366039766,0.5000078292945203,0.4999947349462873,0.49999788171247295,0.5000000762803414,0.5000000170353449
2025-06-18,0.49999998460111705,0.4999999999998871,0.49999999993499317,0.4999837955215254,0.5000002082154148,0.5000023937957431,0.4999993727963561,0.4999998465318767,0.5000002630040179,0.5000000042854462
2025-06-19,0.4999999997979413,0.5000000000004052,0.4999999999998508,0.4999651803773132,0.5000000267440426,0.5000092123822057,0.4999865700152997,0.49999618769208476,0.5000007179327697,0.5000000204433167
2025-06-20,0.5000000021054107,0.5000000025992688,0.500000000015556,0.4999953050109351,0.5000000011173413,0.5000033687947616,0.4999988364962026,0.49999952925587976,0.5000004926203746,0.5000000616087803
2025-06-23,0.5000000319531558,0.5000000130843498,0.5000000008666792,0.4999821310881811,0.5000000039928951,0.5000037460268365,0.4999996731513806,0.4999997201468933,0.5000004177351152,0.5000000901595751
2025-06-24,0.5000000002643484,0.5000000000903968,0.49999993058029113,0.49989425771858786,0.49999999999906364,0.5000146162247249,0.49999385402495,0.499992303185412,0.5000010361186167,0.5000000500308263
2025-06-25,0.5000004876660351,0.5000012102979443,0.5000054410625254,0.4999958100823528,0.5000105108393225,0.5000986108907006,0.4999999984122381,0.5,0.5000003567934601,0.5000000272224139
2025-06-26,0.5000000395247615,0.5000000624745788,0.5000001384441931,0.49999989025530045,0.5000004469452648,0.5000069735999931,0.49999996955100745,0.4999999999080839,0.5000003891505462,0.5000000573621928
2025-06-27,0.5000000723068498,0.5000001129401738,0.5000002617971221,0.49999969286645196,0.5000008303581526,0.5000173601966308,0.4999999917807494,0.49999999997802325,0.5000003319117579,0.5000000344955277
2025-06-30,0.500000008352876,0.5000000123711742,0.5000003886605251,0.49999984412955045,0.5000002358369584,0.5000105265321201,0.49999999856385935,0.4999999999769008,0.5000000875758698,0.5000000289431847
2025-07-01,0.5000000275217911,0.5000000104614877,0.5000006615699546,0.49999976385785494,0.500000100760049,0.5000089608134906,0.4999999998141071,0.49999999999401284,0.5000000196088275,0.5000000348338356
2025-07-02,0.5000000480732727,0.5000000792324293,0.5000003124024311,0.4999995995769741,0.5000001153797039,0.5000083136514579,0.4999999898092098,0.499999999920761,0.5000003688658308,0.5000000284427144
2025-07-03,0.5000000416509048,0.5000000047970664,0.5000003396252486,0.49999994250885904,0.5000015352602674,0.5000098540929079,0.49999999936223527,0.4999999999931568,0.5000001298718615,0.5000000271649772
2025-07-04,0.5000001699070734,0.5000000496155353,0.5000001250005439,0.49999992288025064,0.5000007629281169,0.5000110497599436,0.4999999887544826,0.4999999999936339,0.5000005624951234,0.5000001104262427
2025-07-07,0.5000000536711942,0.500000106497038,0.5000001597041812,0.4999989807339721,0.50000478771667,0.500054765499539,0.499999999346747,0.4999999998008716,0.5000002199247353,0.5000000239518154
2025-07-08,0.5000000008035954,0.5000000004364122,0.5000000518597466,0.499999866705425,0.5000000004233685,0.500018755193204,0.49999999938372663,0.49999999999462696,0.5000002052621431,0.5000000440834727
2025-07-09,0.5000000039627224,0.500000011529916,0.500000085249856,0.49999992092866785,0.5000003148487805,0.5000148153933042,0.4999999994784092,0.49999999999664047,0.5000001745010174,0.5000000414861153
2025-07-10,0.5000000395948465,0.500000035842567,0.5000002572017782,0.49999984713124135,0.5000002441464015,0.5000086698621447,0.49999999803880474,0.4999999999918797,0.5000006463952892,0.500000103280265
2025-07-11,0.5000000145312757,0.5000000218187428,0.5000001936184368,0.49999994162611816,0.5000024814487327,0.5000421104140429,0.49999999817153606,0.49999999996631517,0.5000006413077851,0.5000002531539953
2025-07-14,0.5000000281915102,0.500000024331151,0.5000001162438498,0.49999959366744284,0.5000005197849257,0.5000061061260725,0.49999999864842326,0.49999999999201755,0.5000004499226671,0.5000000878369328
2025-07-15,0.5000000023207807,0.5000000124047549,0.5000000031812254,0.4999998880405526,0.5000002742457226,0.5000064959242818,0.49999999987623533,0.4999999999972063,0.5000000409269763,0.5000000032147041
2025-07-16,0.5000000730188618,0.5000001023470955,0.5000004464468687,0.4999994289730715,0.5000036418887892,0.5000477612017955,0.49999999852185956,0.4999999999616841,0.5000004908600714,0.500000101043667
2025-07-17,0.5000002002548749,0.5000000105525002,0.5000001281026762,0.4999996363404202,0.500002343016828,0.5000211188049714,0.4999999992168572,0.49999999999999256,0.5000002652797391,0.500000115246484
2025-07-18,0.5000000752253109,0.5000000679416639,0.500000416592474,0.49999989140816287,0.5000032095440794,0.5000324505950474,0.499999999709701,0.4999999999886003,0.5000000985479759,0.5000000068923499
2025-07-21,0.5000000383427325,0.5000000146343461,0.5000002162037279,0.4999995732677538,0.5000003417551806,0.5000218137787868,0.49999999921632277,0.4999999965263329,0.5000002666352776,0.500000091105975
2025-07-22,0.5000000062383775,0.5000000057658246,0.5000001204855771,0.49999978228518166,0.5000005152551055,0.5000068623447846,0.49999999896035574,0.49999999981329435,0.5000003474170136,0.5000000476406232
2025-07-23,0.500000006572688,0.5000000068493583,0.5000000555054276,0.49999980970151764,0.5000002798303091,0.5000123844967665,0.49999999952391494,0.49999999946523155,0.5000001572460626,0.5000000211295013
2025-07-24,0.5000000320642192,0.500000007260376,0.5000001007314052,0.4999993033183232,0.5000001254476736,0.5000091343689688,0.49999999760994257,0.4999999935098355,0.5000008062946227,0.500000279812272
2025-07-25,0.5000000009486202,0.5000000032604976,0.5000000709455437,0.49999984653978724,0.5000000392824525,0.5000007107090534,0.49999999937670503,0.49999999897895164,0.5000002158784795,0.5000001247559159
2025-07-28,0.5000000306699011,0.5000000058474652,0.5000003288868505,0.49999924176839894,0.5000002781576045,0.5000140788348509,0.4999999963514571,0.4999999924690461,0.500001206125068,0.5000002280079742
2025-07-29,0.5000000031311859,0.5000000006964751,0.5000000677074452,0.4999999458462594,0.5000000206267704,0.5000013766430834,0.4999999987104155,0.4999999998200657,0.5000004611277151,0.5000001409017104
2025-07-30,0.5000000199378772,0.5000000045444329,0.5000003029717488,0.499999369258992,0.500000413752306,0.5000146726868804,0.4999999980061288,0.49999999432000874,0.5000006815156126,0.5000000603404556
2025-07-31,0.5000000005111921,0.5000000000004414,0.500000004778321,0.49999863159586533,0.5000000122041937,0.5000023854740208,0.4999999963275002,0.4999998782170938,0.5000011196917009,0.5000001889912586
2025-08-01,0.5000000002563857,0.5000000000031638,0.5000000091222349,0.49999972494037975,0.5000000219253858,0.5000018967101951,0.4999999996968646,0.4999999802266523,0.5000000911281607,0.500000021909189
2025-08-04,0.5000000000132636,0.5000000000012929,0.5000000038387008,0.4999992512786312,0.5000000049726246,0.5000007501631232,0.4999999994529173,0.4999999704480591,0.5000001641377287,0.5000001730784857
2025-08-05,0.5000000001608484,0.5000000000049606,0.5000000090405106,0.49999955430897847,0.5000000382370849,0.5000030374144034,0.4999999999711213,0.49999996311845285,0.5000000086619645,0.5000001373739418
2025-08-06,0.5000000006464901,0.49999999999993544,0.5000000044474555,0.499998837974132,0.5000000080917442,0.5000031690426364,0.49999999520734284,0.49999968393520544,0.5000014448177816,0.5000005387014096
2025-08-07,0.5000000011327044,0.5,0.5000000205143073,0.4999996690099272,0.5000000222170579,0.5000028316720874,0.499999999884035,0.49999996896337784,0.5000000348266443,0.500000052728202
2025-08-08,0.5000000032660966,0.5000000000000049,0.5000000371626507,0.4999998875597699,0.5000000189582685,0.5000004144144287,0.49999999643526905,0.49999995797894825,0.5000010711684211,0.5000003628828875
2025-08-11,0.5000000011012208,0.4999999999675617,0.5000000203142538,0.4999998610513991,0.5000000220714158,0.5000049014325526,0.4999999964973338,0.4999998539311237,0.5000009117172981,0.5000001517346025
2025-08-12,0.5000000004979913,0.4999999939044611,0.5000000006936239,0.49999933418232434,0.500000002496263,0.5000026769529043,0.4999999940661359,0.49999887252207076,0.5000012790418459,0.5000001211214483
2025-08-13,0.5000000003712877,0.49999999973703824,0.5000000000026574,0.4999992518397973,0.5000000000139766,0.5000003156128168,0.4999999959498552,0.49999965819086345,0.5000011108458302,0.5000009696187517
2025-08-14,0.5000000004476658,0.4999999990069922,0.5000000000088078,0.49999952318222973,0.5000000000600059,0.5000012888478982,0.4999999983521174,0.49999947481976065,0.5000004114015809,0.5000000697785294
2025-08-15,0.5000000007260493,0.4999999996842653,0.5000000000707561,0.49999974915410006,0.5000000001023788,0.5000006602663144,0.4999999972235058,0.49999975469570246,0.5000007299930522,0.5000001515124528
